mode,code,basis,rounds,shots,relay_solutions,gamma_mode,beta_int_low,beta_int_high,memory_strength_scale,alpha_mode,alpha_value,i64_data_scale_value,i64_max_data_value,success_rate,raw_avg_iterations,raw_median_iterations,raw_p90_iterations,raw_p99_iterations,raw_max_iterations,raw_cpu_window_latency_ns,raw_cpu_latency_ns_per_round,paper_calibrated_avg_iterations,paper_calibrated_window_latency_ns,paper_calibrated_latency_ns_per_round,gross_iteration_scale,detectors,error_variables,edges,max_check_degree,max_variable_degree,cpu_decode_seconds
i64_scale8_wide_proxy,72_12_6,X,6,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,9.949,6.0,21.0,48.00999999999999,72,238.776,39.796,10.045943353359922,241.10264048063812,40.18377341343969,1.0097440298884233,252,2232,7776,35,6,0.4807328749448061
i64_scale8_wide_proxy,72_12_6,Z,6,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,9.707,6.0,20.0,44.0,86,232.96800000000002,38.828,9.801585298126925,235.23804715504622,39.2063411925077,1.0097440298884233,252,2232,7776,35,6,0.4751575420377776
i64_scale8_wide_proxy,90_8_10,X,10,1000,5,continuous,,,,paper_ramp,,8.0,127.0,0.999,49.981,10.0,29.0,64.03999999999996,36080,1199.544,119.9544,50.46801635785329,1211.232392588479,121.12323925884789,1.0097440298884233,495,4590,16020,35,6,3.7701584169408306
i64_scale8_wide_proxy,90_8_10,Z,10,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,14.409,10.0,28.0,63.00999999999999,207,345.81600000000003,34.5816,14.54940172666229,349.185641439895,34.9185641439895,1.0097440298884233,495,4590,16020,35,6,1.3105597089743242
i64_scale8_wide_proxy,108_8_10,X,10,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,14.769,10.0,29.0,55.00999999999999,128,354.456,35.4456,14.912909577422123,357.90982985813093,35.790982985813095,1.0097440298884233,594,5508,19224,35,6,1.609273458016105
i64_scale8_wide_proxy,108_8_10,Z,10,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,15.772,11.0,32.0,71.00999999999999,188,378.528,37.8528,15.925682839400212,382.2163881456051,38.22163881456051,1.0097440298884233,594,5508,19224,35,6,1.689154125051573
i64_scale8_wide_proxy,144_12_12,X,12,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,20.192,16.0,38.0,79.00999999999999,270,484.608,40.384,20.388751451507044,489.33003483616903,40.77750290301409,1.0097440298884233,936,8784,30672,35,6,3.287324167089537
i64_scale8_wide_proxy,144_12_12,Z,12,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,19.422,15.0,39.0,64.01999999999998,116,466.12800000000004,38.844,19.611248548492956,470.66996516383097,39.22249709698591,1.0097440298884233,936,8784,30672,35,6,3.1995936250314116
i64_scale8_wide_proxy,288_12_18,X,18,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,33.946,30.0,58.0,115.00999999999999,252,814.704,45.26133333333333,34.27677083859241,822.6425001262179,45.702361118123214,1.0097440298884233,2736,26208,91584,35,6,15.210188291035593
i64_scale8_wide_proxy,288_12_18,Z,18,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,35.224,31.0,58.0,111.0,336,845.376,46.965333333333334,35.56722370878982,853.6133690109557,47.422964945053096,1.0097440298884233,2736,26208,91584,35,6,16.47225241700653
i64_scale8_wide_proxy,360_12_24,X,24,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,47.165,43.0,73.10000000000002,131.01,733,1131.96,47.165,47.624577169687484,1142.9898520724996,47.624577169687484,1.0097440298884233,4500,43560,152280,35,6,35.01893362496048
i64_scale8_wide_proxy,360_12_24,Z,24,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,49.449,44.0,76.10000000000002,133.06999999999994,884,1186.7759999999998,49.44899999999999,49.93083253395264,1198.3399808148633,49.93083253395264,1.0097440298884233,4500,43560,152280,35,6,36.27862120908685
i64_scale8_wide_proxy,648_12_30,X,30,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,68.032,62.0,98.10000000000002,193.13999999999987,383,1632.768,54.4256,68.6949058413692,1648.677740192861,54.95592467309537,1.0097440298884233,10044,97848,342144,35,6,109.76739137491677
i64_scale8_wide_proxy,648_12_30,Z,30,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,71.554,64.0,102.0,187.03999999999996,1132,1717.296,57.2432,72.25122431463625,1734.0293835512698,57.80097945170899,1.0097440298884233,10044,97848,342144,35,6,114.87086341599934
i64_scale8_wide_proxy,756_16_34,X,34,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,77.513,69.0,116.0,205.08999999999992,488,1860.3120000000001,54.71505882352942,78.26828898874136,1878.4389357297928,55.24820399205273,1.0097440298884233,13230,129276,452088,35,6,165.59100249991752
i64_scale8_wide_proxy,756_16_34,Z,34,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,78.999,72.0,117.0,182.03999999999996,445,1895.9759999999999,55.763999999999996,79.76876861715554,1914.450446811733,56.307366082698024,1.0097440298884233,13230,129276,452088,35,6,170.98701658297796
